*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=led_grid
*Date=01:02:37
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
197;;;65.3034;-113.856;0;Bottom;Copper Fill39
198;;;36.0426;-59.2204;0;Bottom;Copper Fill381
199;;;176.047;-99.3016;0;Bottom;Copper Fill334
200;;;76.0089;-98.0202;0;Bottom;Via261
201;;;12.7389;-28.3641;0;Bottom;Via553
202;;;76.7389;-12.6141;0;Bottom;Via536
203;;;147.73;-109.281;0;Bottom;Via216
204;;;176.911;-93.739;0;Bottom;Copper Fill82
205;;;41.6941;-7.76;0;Bottom;Copper Fill234
206;;;117.633;-59.4486;0;Bottom;Via374
207;;;115.291;-73.8;0;Bottom;Copper Fill108
208;;5050;136.091;-88.8325;0;Top;RGB SMD LED123
209;;;96.1381;-128.025;0;Bottom;Via155
210;;5050;76.0623;-98.7774;0;Top;RGB SMD LED87
211;;;86.2076;-40.526;0;Bottom;Copper Fill427
212;;;74.4889;-24.3641;0;Bottom;Via534
213;;5050;176.091;-88.8325;0;Top;RGB SMD LED157
214;;;24.4374;-99.3196;0;Bottom;Via194
215;;;11.7107;-68.4011;0;Bottom;Via560
216;;;176.911;-83.0964;0;Bottom;Copper Fill99
217;;;84.4093;-129.285;0;Bottom;Via159
218;;5050;86.0329;-39.8169;0;Top;RGB SMD LED30
219;;;86.2076;-109.335;0;Bottom;Copper Fill309
220;;;36.83;-73.6222;0;Bottom;Copper Fill126
221;;;86.0899;-98.2624;0;Bottom;Via257
222;;;65.3034;-104.001;0;Bottom;Copper Fill59
223;;5050;26.1338;-128.819;0;Top;RGB SMD LED36
224;;;117.704;-89.483;0;Bottom;Via372
225;;5050;126.02;-58.7905;0;Top;RGB SMD LED117
226;;;157.815;-119.398;0;Bottom;Via114
227;;5050;66.1388;-138.814;0;Top;RGB SMD LED5
228;;;36.068;-50.2542;0;Bottom;Copper Fill397
229;;;71.0692;-38.7988;0;Bottom;Copper Fill416
230;;;76.0575;-107.968;0;Bottom;Via260
231;;;124.382;-50.4189;0;Bottom;Via498
232;;;127.65;-40.4319;0;Bottom;Via42
233;;5050;176.133;-118.819;0;Top;RGB SMD LED62
234;;;95.7389;-23.3641;0;Bottom;Via572
235;;;174.396;-40.2595;0;Bottom;Via10
236;;;76.0984;-129.248;0;Bottom;Copper Fill278
237;;;106.832;-61.5826;0;Bottom;Copper Fill140
238;;;116.129;-98.362;0;Bottom;Via236
239;;5050;106.134;-128.819;0;Top;RGB SMD LED35
240;;;96.1988;-138.141;0;Bottom;Via60
241;;;86.7918;-33.2108;0;Bottom;Copper Fill211
242;;;87.6636;-119.031;0;Bottom;Via157
243;;;176.156;-137.929;0;Bottom;Via8
244;;;137.699;-129.23;0;Bottom;Via126
245;;;63.2389;-19.8641;0;Bottom;Via531
246;;;114.455;-109.366;0;Bottom;Via238
247;;0805;19.7389;-18.7641;90;Bottom;C1
248;;;87.5628;-40.0289;0;Bottom;Via62
249;;;166.112;-117.836;0;Bottom;Via111
250;;;106.121;-119.52;0;Bottom;Copper Fill295
251;;5050;136.062;-98.7774;0;Top;RGB SMD LED77
252;;sot23-3;11.7889;-90.3641;-90;Top;Q6
253;;;143.967;-29.6167;0;Bottom;Copper Fill251
254;;;74.5357;-79.5293;0;Bottom;Via429
255;;;47.7763;-119.516;0;Bottom;Via181
256;;;97.6438;-40.3196;0;Bottom;Via56
257;;;66.8782;-44.8948;0;Bottom;Copper Fill171
258;;;25.273;-73.6984;0;Bottom;Copper Fill109
259;;5050;146.033;-39.8169;0;Top;RGB SMD LED26
260;;;96.0628;-109.385;0;Bottom;Copper Fill310
261;;;146.157;-127.813;0;Bottom;Via121
262;;;166.878;-73.8762;0;Bottom;Copper Fill127
263;;;126.949;-133.744;0;Bottom;Copper Fill6
264;;;94.3836;-69.2192;0;Bottom;Via404
265;;;65.3034;-123.965;0;Bottom;Copper Fill27
266;;;63.7286;-31.5979;0;Bottom;Copper Fill238
267;;;126.077;-88.3236;0;Bottom;Via361
268;;5050;46.0914;-78.8325;0;Top;RGB SMD LED114
269;;;156.921;-113.78;0;Bottom;Copper Fill45
270;;;96.1644;-139.408;0;Bottom;Copper Fill266
271;;;24.4665;-79.3746;0;Bottom;Via292
272;;5050;96.0281;-49.8037;0;Top;RGB SMD LED176
273;;;36.8046;-44.6916;0;Bottom;Copper Fill183
274;;;126.035;-40.526;0;Bottom;Copper Fill431
275;;;164.441;-50.2623;0;Bottom;Via488
276;;;76.0865;-88.0414;0;Bottom;Via424
277;;;156.083;-109.436;0;Bottom;Copper Fill316
278;;;136.085;-138.187;0;Bottom;Via36
279;;;34.5937;-119.419;0;Bottom;Via190
280;;;154.585;-119.349;0;Bottom;Via117
281;;;116.053;-129.375;0;Bottom;Copper Fill281
282;;;25.2476;-60.7952;0;Bottom;Copper Fill142
283;;;156.083;-50.5082;0;Bottom;Copper Fill409
284;;;77.6859;-79.2383;0;Bottom;Via422
285;;;65.3034;-93.8406;0;Bottom;Copper Fill76
286;;;136.042;-109.436;0;Bottom;Copper Fill314
287;;;146.964;-113.373;0;Bottom;Copper Fill56
288;;;124.459;-69.4695;0;Bottom;Via363
289;;5050;36.0914;-78.8325;0;Top;RGB SMD LED110
290;;;36.0245;-108.065;0;Bottom;Via284
291;;;86.0558;-49.2889;0;Bottom;Via512
292;;;96.8248;-32.4742;0;Bottom;Copper Fill212
293;;;87.5583;-50.0159;0;Bottom;Via510
294;;;90.805;-38.7988;0;Bottom;Copper Fill418
295;;5050;146.02;-68.7904;0;Top;RGB SMD LED133
296;;;24.4899;-128.655;0;Bottom;Via97
297;;;126.797;-34.303;0;Bottom;Copper Fill202
298;;;176.987;-22.9111;0;Bottom;Copper Fill460
299;;;107.644;-129.401;0;Bottom;Via144
300;;;27.5541;-59.2214;0;Bottom;Via298
301;;;175.26;-81.1406;0;Bottom;Copper Fill104
302;;;85.9736;-88.2353;0;Bottom;Via411
303;;;116.103;-89.4718;0;Bottom;Copper Fill344
304;;;127.637;-69.1689;0;Bottom;Via359
305;;5050;116.091;-78.8325;0;Top;RGB SMD LED106
306;;;75.2348;-34.0744;0;Bottom;Copper Fill215
307;;;13.7803;-88.3448;0;Bottom;Via562
308;;;14.7389;-30.3641;0;Bottom;Via551
309;;;127.645;-50.4189;0;Bottom;Via500
310;;;95.3516;-133.693;0;Bottom;Copper Fill3
311;;;167.721;-89.4932;0;Bottom;Via312
312;;;37.7015;-79.4322;0;Bottom;Via467
313;;;37.7438;-119.419;0;Bottom;Via186
314;;;75.2856;-113.703;0;Bottom;Copper Fill50
315;;;36.8554;-34.0236;0;Bottom;Copper Fill189
316;;;55.245;-35.0142;0;Bottom;Copper Fill206
317;;5050;86.0622;-98.7774;0;Top;RGB SMD LED89
318;;;174.391;-50.2465;0;Bottom;Via483
319;;;104.566;-89.5688;0;Bottom;Via388
320;;5050;96.1336;-118.819;0;Top;RGB SMD LED64
321;;;155.988;-68.0431;0;Bottom;Via334
322;;5050;106.02;-58.7905;0;Top;RGB SMD LED100
323;;;5.73886;-6.36406;0;Bottom;Hole2
324;;;106.883;-73.9778;0;Bottom;Copper Fill110
325;;;126.162;-139.459;0;Bottom;Copper Fill269
326;;5050;76.0913;-78.8325;0;Top;RGB SMD LED142
327;;;137.669;-79.4477;0;Bottom;Via349
328;;;47.614;-68.9282;0;Bottom;Via455
329;;;137.611;-40.4319;0;Bottom;Via32
330;;;84.4564;-50.3066;0;Bottom;Via511
331;;;144.381;-109.538;0;Bottom;Via218
332;;;44.4093;-99.3771;0;Bottom;Via281
333;;;156.312;-129.401;0;Bottom;Copper Fill285
334;;;34.4929;-40.4167;0;Bottom;Via95
335;;5050;166.133;-118.819;0;Top;RGB SMD LED60
